locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_011405655.1_00390	CDS	933	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
GCF_011405655.1_00391	CDS	663				hypothetical protein
GCF_011405655.1_00392	CDS	2739	metH	2.1.1.13	COG0646	Methionine synthase
GCF_011405655.1_00393	CDS	318				hypothetical protein
GCF_011405655.1_00394	CDS	849	apbC		COG0489	Iron-sulfur cluster carrier protein
GCF_011405655.1_00395	tRNA	76				tRNA-Ala(ggc)
GCF_011405655.1_00396	CDS	1398	prsA	5.2.1.8		Foldase protein PrsA
GCF_011405655.1_00397	CDS	1302	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
GCF_011405655.1_00398	CDS	957				hypothetical protein
GCF_011405655.1_00399	CDS	2079	fusA_1		COG0480	Elongation factor G
GCF_011405655.1_00400	CDS	3534	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
GCF_011405655.1_00401	CDS	4422	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
GCF_011405655.1_00402	CDS	945	hcaR_1			Hca operon transcriptional activator HcaR
GCF_011405655.1_00403	CDS	1635	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GCF_011405655.1_00404	CDS	1881				hypothetical protein
GCF_011405655.1_00405	CDS	747	torD_2			Chaperone protein TorD
GCF_011405655.1_00406	CDS	828				hypothetical protein
GCF_011405655.1_00407	CDS	852				hypothetical protein
GCF_011405655.1_00408	CDS	3060	pcrA_1	1.97.1.-	COG0243	Perchlorate reductase subunit alpha
GCF_011405655.1_00409	CDS	618	phsB_1		COG0437	Thiosulfate reductase electron transfer subunit PhsB
GCF_011405655.1_00410	CDS	870				hypothetical protein
GCF_011405655.1_00411	CDS	867				hypothetical protein
GCF_011405655.1_00412	CDS	684	napG_2		COG1145	Ferredoxin-type protein NapG
GCF_011405655.1_00413	CDS	1011				hypothetical protein
GCF_011405655.1_00414	CDS	531	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
GCF_011405655.1_00415	CDS	1428	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
GCF_011405655.1_00416	CDS	258				hypothetical protein
GCF_011405655.1_00417	CDS	1428				hypothetical protein
GCF_011405655.1_00418	CDS	849				hypothetical protein
GCF_011405655.1_00419	CDS	726				hypothetical protein
GCF_011405655.1_00420	CDS	327	gdx			Guanidinium exporter
GCF_011405655.1_00421	CDS	465				hypothetical protein
GCF_011405655.1_00422	CDS	408				hypothetical protein
GCF_011405655.1_00423	CDS	2865	ppk	2.7.4.1		Polyphosphate kinase
GCF_011405655.1_00424	CDS	1734		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
GCF_011405655.1_00425	CDS	117				hypothetical protein
GCF_011405655.1_00426	CDS	912				hypothetical protein
GCF_011405655.1_00427	CDS	1482	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
GCF_011405655.1_00428	CDS	1077	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
GCF_011405655.1_00429	CDS	618	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
GCF_011405655.1_00430	CDS	993				hypothetical protein
GCF_011405655.1_00431	CDS	636				hypothetical protein
GCF_011405655.1_00432	CDS	1182	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
GCF_011405655.1_00433	CDS	504				hypothetical protein
GCF_011405655.1_00434	CDS	1167				hypothetical protein
GCF_011405655.1_00435	CDS	1194				hypothetical protein
GCF_011405655.1_00436	CDS	483	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
GCF_011405655.1_00437	tRNA	77				tRNA-Pro(cgg)
GCF_011405655.1_00438	CDS	1221	ackA_1	2.7.2.1	COG0282	Acetate kinase
GCF_011405655.1_00439	CDS	240				hypothetical protein
GCF_011405655.1_00440	CDS	651				hypothetical protein
GCF_011405655.1_00441	CDS	402	adhR_1		COG0789	HTH-type transcriptional regulator AdhR
GCF_011405655.1_00442	CDS	507				hypothetical protein
GCF_011405655.1_00443	CDS	270	tatA_1			Sec-independent protein translocase protein TatA
GCF_011405655.1_00444	CDS	471	greA		COG0782	Transcription elongation factor GreA
GCF_011405655.1_00445	CDS	1977	epmA	6.3.1.-		Elongation factor P--(R)-beta-lysine ligase
GCF_011405655.1_00446	CDS	1062				hypothetical protein
GCF_011405655.1_00447	CDS	2586	clpC1			ATP-dependent Clp protease ATP-binding subunit ClpC1
GCF_011405655.1_00448	CDS	843	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GCF_011405655.1_00449	CDS	492	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
GCF_011405655.1_00450	CDS	1620				hypothetical protein
GCF_011405655.1_00451	CDS	2298		1.-.-.-		NADH oxidase
GCF_011405655.1_00452	CDS	660	fliA			RNA polymerase sigma factor FliA
GCF_011405655.1_00453	CDS	666				hypothetical protein
GCF_011405655.1_00454	CDS	786				hypothetical protein
GCF_011405655.1_00455	CDS	222				hypothetical protein
GCF_011405655.1_00456	CDS	102				hypothetical protein
GCF_011405655.1_00457	CDS	327				hypothetical protein
GCF_011405655.1_00458	CDS	1560	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
GCF_011405655.1_00459	CDS	1500				hypothetical protein
GCF_011405655.1_00460	CDS	1149				hypothetical protein
GCF_011405655.1_00461	CDS	282				hypothetical protein
GCF_011405655.1_00462	CDS	429	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
GCF_011405655.1_00463	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
GCF_011405655.1_00464	CDS	1299	argJ			Arginine biosynthesis bifunctional protein ArgJ
GCF_011405655.1_00465	CDS	948	argB	2.7.2.8	COG0548	Acetylglutamate kinase
GCF_011405655.1_00466	CDS	1236	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
GCF_011405655.1_00467	CDS	1383	argG	6.3.4.5		Argininosuccinate synthase
GCF_011405655.1_00468	CDS	1371	argH	4.3.2.1	COG0165	Argininosuccinate lyase
GCF_011405655.1_00469	CDS	2205	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
GCF_011405655.1_00470	CDS	510				hypothetical protein
GCF_011405655.1_00471	CDS	2604				hypothetical protein
GCF_011405655.1_00472	CDS	474				hypothetical protein
GCF_011405655.1_00473	CDS	1824				hypothetical protein
GCF_011405655.1_00474	CDS	420				hypothetical protein
GCF_011405655.1_00475	CDS	1212	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
GCF_011405655.1_00476	CDS	603				hypothetical protein
GCF_011405655.1_00477	CDS	459	sigR		COG1595	ECF RNA polymerase sigma factor SigR
GCF_011405655.1_00478	CDS	798				hypothetical protein
GCF_011405655.1_00479	rRNA	1504				16S ribosomal RNA
GCF_011405655.1_00480	rRNA	2958				23S ribosomal RNA
GCF_011405655.1_00481	rRNA	93				5S ribosomal RNA (partial)
GCF_011405655.1_00482	rRNA	1504				16S ribosomal RNA
GCF_011405655.1_00483	rRNA	2958				23S ribosomal RNA
GCF_011405655.1_00484	rRNA	93				5S ribosomal RNA (partial)
GCF_011405655.1_00485	CDS	603				hypothetical protein
GCF_011405655.1_00486	CDS	2661	acn	4.2.1.3	COG1048	Aconitate hydratase A
GCF_011405655.1_00487	CDS	1782	aspS	6.1.1.12		Aspartate--tRNA ligase
GCF_011405655.1_00488	CDS	1038				hypothetical protein
GCF_011405655.1_00489	CDS	1656				hypothetical protein
GCF_011405655.1_00490	CDS	855				hypothetical protein
GCF_011405655.1_00491	CDS	2433				hypothetical protein
GCF_011405655.1_00492	CDS	309			COG0718	Nucleoid-associated protein
GCF_011405655.1_00493	CDS	597	recR		COG0353	Recombination protein RecR
GCF_011405655.1_00494	CDS	318				hypothetical protein
GCF_011405655.1_00495	CDS	957				hypothetical protein
GCF_011405655.1_00496	CDS	1590				hypothetical protein
GCF_011405655.1_00497	CDS	723				hypothetical protein
GCF_011405655.1_00498	CDS	885	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
GCF_011405655.1_00499	CDS	585				hypothetical protein
GCF_011405655.1_00500	CDS	1170				hypothetical protein
GCF_011405655.1_00501	CDS	831	crnA	3.5.2.10		Creatinine amidohydrolase
GCF_011405655.1_00502	CDS	1365	proP_1			Proline/betaine transporter
GCF_011405655.1_00503	CDS	1389				hypothetical protein
GCF_011405655.1_00504	CDS	822				hypothetical protein
GCF_011405655.1_00505	CDS	777	dnaJ_3			Chaperone protein DnaJ
GCF_011405655.1_00506	CDS	1215				hypothetical protein
GCF_011405655.1_00507	CDS	417				hypothetical protein
GCF_011405655.1_00508	CDS	1341				hypothetical protein
GCF_011405655.1_00509	CDS	1020				hypothetical protein
GCF_011405655.1_00510	CDS	1200				hypothetical protein
GCF_011405655.1_00511	CDS	990				hypothetical protein
GCF_011405655.1_00512	CDS	669	dmsD_1		COG3381	Tat proofreading chaperone DmsD
GCF_011405655.1_00513	CDS	855	dmsC		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
GCF_011405655.1_00514	CDS	573	dmsB_3		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_011405655.1_00515	CDS	633	dmsB_4		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_011405655.1_00516	CDS	2427	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
GCF_011405655.1_00517	CDS	1677				hypothetical protein
GCF_011405655.1_00518	CDS	1971	mdtD_3			Putative multidrug resistance protein MdtD
GCF_011405655.1_00519	CDS	1197	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
GCF_011405655.1_00520	CDS	294				hypothetical protein
GCF_011405655.1_00521	CDS	1989	htpG		COG0326	Chaperone protein HtpG
GCF_011405655.1_00522	CDS	624				hypothetical protein
GCF_011405655.1_00523	CDS	915	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
GCF_011405655.1_00524	CDS	309				hypothetical protein
GCF_011405655.1_00525	CDS	912	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
GCF_011405655.1_00526	CDS	942				hypothetical protein
GCF_011405655.1_00527	CDS	1794	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00528	CDS	1293				hypothetical protein
GCF_011405655.1_00529	CDS	1929	tet(W)			tetracycline resistance ribosomal protection protein Tet(W)
GCF_011405655.1_00530	CDS	1764				hypothetical protein
GCF_011405655.1_00531	CDS	981				hypothetical protein
GCF_011405655.1_00532	CDS	375				hypothetical protein
GCF_011405655.1_00533	CDS	378				hypothetical protein
GCF_011405655.1_00534	CDS	768	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
GCF_011405655.1_00535	CDS	909				hypothetical protein
GCF_011405655.1_00536	CDS	420				hypothetical protein
GCF_011405655.1_00537	CDS	1230				hypothetical protein
GCF_011405655.1_00538	CDS	573				hypothetical protein
GCF_011405655.1_00539	CDS	684				hypothetical protein
GCF_011405655.1_00540	CDS	210				hypothetical protein
GCF_011405655.1_00541	CDS	273				hypothetical protein
GCF_011405655.1_00542	CDS	672				hypothetical protein
GCF_011405655.1_00543	CDS	1491				hypothetical protein
GCF_011405655.1_00544	CDS	1005				hypothetical protein
GCF_011405655.1_00545	CDS	945				hypothetical protein
GCF_011405655.1_00546	CDS	369				hypothetical protein
GCF_011405655.1_00547	CDS	267	arsR2		COG0640	Arsenic resistance transcriptional regulator ArsR2
GCF_011405655.1_00548	CDS	924				hypothetical protein
GCF_011405655.1_00549	CDS	1086				hypothetical protein
GCF_011405655.1_00550	CDS	1008	gapA1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 1
GCF_011405655.1_00551	CDS	489				hypothetical protein
GCF_011405655.1_00552	CDS	675				hypothetical protein
GCF_011405655.1_00553	CDS	3768				hypothetical protein
GCF_011405655.1_00554	CDS	468				hypothetical protein
GCF_011405655.1_00555	CDS	1005				hypothetical protein
GCF_011405655.1_00556	CDS	783				hypothetical protein
GCF_011405655.1_00557	CDS	1644				hypothetical protein
GCF_011405655.1_00558	CDS	2595				hypothetical protein
GCF_011405655.1_00559	CDS	171				hypothetical protein
GCF_011405655.1_00560	CDS	216				hypothetical protein
GCF_011405655.1_00561	CDS	1827				hypothetical protein
GCF_011405655.1_00562	CDS	549				hypothetical protein
GCF_011405655.1_00563	CDS	744				hypothetical protein
GCF_011405655.1_00564	CDS	789				hypothetical protein
GCF_011405655.1_00565	CDS	456				hypothetical protein
GCF_011405655.1_00566	CDS	240				hypothetical protein
GCF_011405655.1_00567	CDS	252				hypothetical protein
GCF_011405655.1_00568	CDS	915				hypothetical protein
GCF_011405655.1_00569	CDS	1275	dinB_1	2.7.7.7		DNA polymerase IV
GCF_011405655.1_00570	CDS	276				hypothetical protein
GCF_011405655.1_00571	CDS	657				hypothetical protein
GCF_011405655.1_00572	CDS	282				hypothetical protein
GCF_011405655.1_00573	CDS	618				hypothetical protein
GCF_011405655.1_00574	CDS	879				hypothetical protein
GCF_011405655.1_00575	CDS	1005				hypothetical protein
GCF_011405655.1_00576	CDS	945			COG0701	Putative two-component membrane permease complex subunit SMU_747c
GCF_011405655.1_00577	CDS	363				hypothetical protein
GCF_011405655.1_00578	CDS	276				hypothetical protein
GCF_011405655.1_00579	CDS	180				hypothetical protein
GCF_011405655.1_00580	CDS	390				hypothetical protein
GCF_011405655.1_00581	CDS	681				hypothetical protein
GCF_011405655.1_00582	CDS	216				hypothetical protein
GCF_011405655.1_00583	CDS	282				hypothetical protein
GCF_011405655.1_00584	CDS	360				hypothetical protein
GCF_011405655.1_00585	CDS	1620				hypothetical protein
GCF_011405655.1_00586	CDS	531				hypothetical protein
GCF_011405655.1_00587	CDS	1146		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
GCF_011405655.1_00588	CDS	3630				hypothetical protein
GCF_011405655.1_00589	CDS	270				hypothetical protein
GCF_011405655.1_00590	CDS	1245				hypothetical protein
GCF_011405655.1_00591	CDS	873	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
GCF_011405655.1_00592	CDS	1167	fic	2.7.7.-	COG3177	Protein adenylyltransferase SoFic
GCF_011405655.1_00593	CDS	963				hypothetical protein
GCF_011405655.1_00594	CDS	669				hypothetical protein
GCF_011405655.1_00595	CDS	747				hypothetical protein
GCF_011405655.1_00596	CDS	1314				hypothetical protein
GCF_011405655.1_00597	CDS	813				hypothetical protein
GCF_011405655.1_00598	CDS	837				hypothetical protein
GCF_011405655.1_00599	CDS	636				hypothetical protein
GCF_011405655.1_00600	CDS	1320				hypothetical protein
GCF_011405655.1_00601	CDS	3018				hypothetical protein
GCF_011405655.1_00602	CDS	1869				hypothetical protein
GCF_011405655.1_00603	CDS	1293				hypothetical protein
GCF_011405655.1_00604	CDS	1083				hypothetical protein
GCF_011405655.1_00605	CDS	1059				hypothetical protein
GCF_011405655.1_00606	CDS	732				hypothetical protein
GCF_011405655.1_00607	CDS	783				hypothetical protein
GCF_011405655.1_00608	CDS	3252	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
GCF_011405655.1_00609	CDS	204				hypothetical protein
GCF_011405655.1_00610	CDS	1035				hypothetical protein
GCF_011405655.1_00611	CDS	327				hypothetical protein
GCF_011405655.1_00612	CDS	507				hypothetical protein
GCF_011405655.1_00613	CDS	1521				hypothetical protein
GCF_011405655.1_00614	CDS	450				hypothetical protein
GCF_011405655.1_00615	CDS	903				hypothetical protein
GCF_011405655.1_00616	CDS	801		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
GCF_011405655.1_00617	CDS	1707	dauA		COG0659	C4-dicarboxylic acid transporter DauA
GCF_011405655.1_00618	CDS	729	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
GCF_011405655.1_00619	CDS	729				hypothetical protein
GCF_011405655.1_00620	CDS	1581				hypothetical protein
GCF_011405655.1_00621	CDS	282				hypothetical protein
GCF_011405655.1_00622	CDS	1275				hypothetical protein
GCF_011405655.1_00623	CDS	477				hypothetical protein
GCF_011405655.1_00624	CDS	183				hypothetical protein
GCF_011405655.1_00625	CDS	294				hypothetical protein
GCF_011405655.1_00626	CDS	867				hypothetical protein
GCF_011405655.1_00627	CDS	1536	trkH_1		COG0168	Trk system potassium uptake protein TrkH
GCF_011405655.1_00628	CDS	582				hypothetical protein
GCF_011405655.1_00629	CDS	432	trkA_2		COG0569	Trk system potassium uptake protein TrkA
GCF_011405655.1_00630	CDS	342				hypothetical protein
GCF_011405655.1_00631	CDS	2091				hypothetical protein
GCF_011405655.1_00632	CDS	1398				hypothetical protein
GCF_011405655.1_00633	CDS	1668				hypothetical protein
GCF_011405655.1_00634	CDS	564				hypothetical protein
GCF_011405655.1_00635	CDS	213				hypothetical protein
GCF_011405655.1_00636	CDS	441	elaA		COG2153	Protein ElaA
GCF_011405655.1_00637	CDS	645				hypothetical protein
GCF_011405655.1_00638	CDS	966	arcC1_1	2.7.2.2		Carbamate kinase 1
GCF_011405655.1_00639	CDS	1704	asD	2.6.1.1		Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase
GCF_011405655.1_00640	CDS	354				hypothetical protein
GCF_011405655.1_00641	CDS	321	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
GCF_011405655.1_00642	CDS	528	apt	2.4.2.7		Adenine phosphoribosyltransferase
GCF_011405655.1_00643	CDS	1602				hypothetical protein
GCF_011405655.1_00644	CDS	1911	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
GCF_011405655.1_00645	CDS	651				hypothetical protein
GCF_011405655.1_00646	CDS	1044				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
GCF_011405655.1_00647	CDS	222				hypothetical protein
GCF_011405655.1_00648	CDS	795	zupT_1		COG0428	Zinc transporter ZupT
GCF_011405655.1_00649	CDS	1791	cdr	1.8.1.14		Coenzyme A disulfide reductase
GCF_011405655.1_00650	CDS	873	gltC_1			HTH-type transcriptional regulator GltC
GCF_011405655.1_00651	CDS	930				hypothetical protein
GCF_011405655.1_00652	CDS	1485				hypothetical protein
GCF_011405655.1_00653	CDS	753	baiA	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
GCF_011405655.1_00654	CDS	453				hypothetical protein
GCF_011405655.1_00655	CDS	1713				hypothetical protein
GCF_011405655.1_00656	CDS	1542				hypothetical protein
GCF_011405655.1_00657	CDS	1332				hypothetical protein
GCF_011405655.1_00658	CDS	1176	ybiR		COG0471	Inner membrane protein YbiR
GCF_011405655.1_00659	CDS	756				hypothetical protein
GCF_011405655.1_00660	CDS	429				hypothetical protein
GCF_011405655.1_00661	CDS	381	crcB			Putative fluoride ion transporter CrcB
GCF_011405655.1_00662	CDS	516				hypothetical protein
GCF_011405655.1_00663	CDS	531				hypothetical protein
GCF_011405655.1_00664	CDS	1128				hypothetical protein
GCF_011405655.1_00665	CDS	1197	APOA1BP	5.1.99.6		NAD(P)H-hydrate epimerase
GCF_011405655.1_00666	CDS	456				hypothetical protein
GCF_011405655.1_00667	CDS	549				hypothetical protein
GCF_011405655.1_00668	CDS	681	hypB			Hydrogenase maturation factor HypB
GCF_011405655.1_00669	CDS	318				hypothetical protein
GCF_011405655.1_00670	CDS	471	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
GCF_011405655.1_00671	CDS	456				hypothetical protein
GCF_011405655.1_00672	CDS	1641	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
GCF_011405655.1_00673	CDS	729	evgS	2.7.13.3	COG0784	Sensor protein EvgS
GCF_011405655.1_00674	CDS	1263	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
GCF_011405655.1_00675	CDS	810	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
GCF_011405655.1_00676	CDS	993				hypothetical protein
GCF_011405655.1_00677	CDS	420	def_1	3.5.1.88		Peptide deformylase
GCF_011405655.1_00678	CDS	2190	helD	3.6.4.12	COG3973	DNA helicase IV
GCF_011405655.1_00679	CDS	1785		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
GCF_011405655.1_00680	CDS	477				hypothetical protein
GCF_011405655.1_00681	CDS	3339	rapA_2	3.6.4.-		RNA polymerase-associated protein RapA
GCF_011405655.1_00682	CDS	1593		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00683	CDS	639				hypothetical protein
GCF_011405655.1_00684	CDS	1476	alsT_2		COG1115	Amino-acid carrier protein AlsT
GCF_011405655.1_00685	CDS	210				hypothetical protein
GCF_011405655.1_00686	CDS	1467		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00687	CDS	1344				hypothetical protein
GCF_011405655.1_00688	CDS	672				hypothetical protein
GCF_011405655.1_00689	CDS	1101				hypothetical protein
GCF_011405655.1_00690	CDS	1590				hypothetical protein
GCF_011405655.1_00691	CDS	1677	ifcA_2	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00692	CDS	1422				hypothetical protein
GCF_011405655.1_00693	CDS	1752				hypothetical protein
GCF_011405655.1_00694	CDS	2679				hypothetical protein
GCF_011405655.1_00695	CDS	1335				hypothetical protein
GCF_011405655.1_00696	CDS	786	sfsA			Sugar fermentation stimulation protein A
GCF_011405655.1_00697	CDS	945	pyrG_1	6.3.4.2		CTP synthase
GCF_011405655.1_00698	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
GCF_011405655.1_00699	CDS	1818	ade	3.5.4.2	COG1001	Adenine deaminase
GCF_011405655.1_00700	CDS	1146				hypothetical protein
GCF_011405655.1_00701	CDS	912	hdfR_1			HTH-type transcriptional regulator HdfR
GCF_011405655.1_00702	CDS	2883	dmsA_3	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GCF_011405655.1_00703	CDS	576	dmsB_5		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_011405655.1_00704	CDS	864	torD_3			Chaperone protein TorD
GCF_011405655.1_00705	CDS	1302				hypothetical protein
GCF_011405655.1_00706	CDS	237				hypothetical protein
GCF_011405655.1_00707	CDS	96				hypothetical protein
GCF_011405655.1_00708	CDS	555	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
GCF_011405655.1_00709	CDS	1716	ifcA_3	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00710	CDS	1620				hypothetical protein
GCF_011405655.1_00711	CDS	1104				hypothetical protein
GCF_011405655.1_00712	CDS	639				hypothetical protein
GCF_011405655.1_00713	CDS	2070	lacZ	3.2.1.23		Beta-galactosidase
GCF_011405655.1_00714	CDS	1410	galK	2.7.1.6		Galactokinase
GCF_011405655.1_00715	CDS	1206	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
GCF_011405655.1_00716	CDS	1455	mhpB	1.13.11.16		2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
GCF_011405655.1_00717	CDS	309	trxA_1		COG0526	Thioredoxin 1
GCF_011405655.1_00718	CDS	1128				hypothetical protein
GCF_011405655.1_00719	CDS	945				hypothetical protein
GCF_011405655.1_00720	CDS	837	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
GCF_011405655.1_00721	CDS	741				hypothetical protein
GCF_011405655.1_00722	tRNA	92				tRNA-Pro(cgg)
GCF_011405655.1_00723	CDS	516	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
GCF_011405655.1_00724	CDS	3195	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_011405655.1_00725	CDS	372				hypothetical protein
GCF_011405655.1_00726	CDS	1488	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
GCF_011405655.1_00727	CDS	1125	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
GCF_011405655.1_00728	CDS	747		3.6.1.9		dTTP/UTP pyrophosphatase
GCF_011405655.1_00729	CDS	549	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
GCF_011405655.1_00730	CDS	2349	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
GCF_011405655.1_00731	CDS	1314				hypothetical protein
GCF_011405655.1_00732	CDS	846	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
GCF_011405655.1_00733	CDS	1539	mepA_1		COG0534	Multidrug export protein MepA
GCF_011405655.1_00734	CDS	645	bioY		COG1268	Biotin transporter BioY
GCF_011405655.1_00735	CDS	696	regX3_1		COG0745	Sensory transduction protein regX3
GCF_011405655.1_00736	CDS	771	coaX_1	2.7.1.33	COG1521	Type III pantothenate kinase
GCF_011405655.1_00737	CDS	1689	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
GCF_011405655.1_00738	CDS	615	fchA	3.5.4.9	COG3404	Methenyltetrahydrofolate cyclohydrolase
GCF_011405655.1_00739	CDS	864	folD			Bifunctional protein FolD protein
GCF_011405655.1_00740	CDS	1440				hypothetical protein
GCF_011405655.1_00741	CDS	1698	ifcA_4	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_011405655.1_00742	CDS	819	focA		COG2116	putative formate transporter 1
GCF_011405655.1_00743	CDS	513	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
GCF_011405655.1_00744	CDS	2472	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
GCF_011405655.1_00745	CDS	366				hypothetical protein
GCF_011405655.1_00746	CDS	1788	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
GCF_011405655.1_00747	CDS	2079	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
GCF_011405655.1_00748	CDS	612	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
GCF_011405655.1_00749	CDS	2832	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
GCF_011405655.1_00750	CDS	720	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
GCF_011405655.1_00751	CDS	1086				hypothetical protein
GCF_011405655.1_00752	CDS	543				hypothetical protein
GCF_011405655.1_00753	CDS	828				hypothetical protein
GCF_011405655.1_00754	CDS	132				hypothetical protein
GCF_011405655.1_00755	CDS	2454	ddhA	1.8.2.4		Dimethylsulfide dehydrogenase subunit alpha
GCF_011405655.1_00756	CDS	630	soeB_1		COG0437	Sulfite dehydrogenase subunit B
GCF_011405655.1_00757	CDS	1290	qrcD_1			Menaquinone reductase, integral membrane subunit
GCF_011405655.1_00758	CDS	402				hypothetical protein
GCF_011405655.1_00759	CDS	441				hypothetical protein
GCF_011405655.1_00760	CDS	510	proX		COG3760	Prolyl-tRNA editing protein ProX
GCF_011405655.1_00761	CDS	792	torD_4			Chaperone protein TorD
GCF_011405655.1_00762	CDS	951				hypothetical protein
GCF_011405655.1_00763	CDS	744	menG	2.1.1.163		Demethylmenaquinone methyltransferase
GCF_011405655.1_00764	CDS	1362	triA	3.5.4.45		Melamine deaminase
GCF_011405655.1_00765	CDS	213				hypothetical protein
GCF_011405655.1_00766	CDS	681				hypothetical protein
GCF_011405655.1_00767	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
GCF_011405655.1_00768	CDS	357	hypA			Hydrogenase maturation factor HypA
